airport_code,length_ft_sum,width_ft_avg
MRT,4218.0,75.0
MRY,11129.0,105.0
MSL,10693.0,125.0
MSN,22051.0,150.0
MSO,14113.0,112.5
MSP,37006.0,162.5
MSS,8998.0,100.0
MSY,20675.0,150.0
MTC,9000.0,150.0
MTH,5008.0,100.0
MTJ,17500.0,125.0
MTM,10000.0,5000.0
MTN,6996.0,180.0
MTP,3481.0,75.0
MUE,5197.0,100.0
MUI,3967.0,100.0
MUO,23500.0,350.0
MVL,3701.0,75.0
MVY,11978.0,83.33333333333333
MWA,13012.0,125.0
MWC,13421.0,175.0
MWH,33247.0,108.0
MWL,10184.0,100.0
MWM,3599.0,75.0
MXF,11028.0,105.0
MYL,6107.0,75.0
MYR,9503.0,150.0
MYU,3070.0,75.0
MYV,9287.0,105.0
MZJ,13539.0,150.0
NBG,15999.0,200.0
NCN,3000.0,75.0
NEL,10001.0,150.0
NEW,13690.0,100.0
NFL,32088.0,185.0
NGF,7771.0,200.0
NGP,23001.0,200.0
NGU,8369.0,200.0
NHK,26570.0,158.33333333333334
NHZ,22000.0,166.66666666666666
NIB,4003.0,75.0
NID,26703.0,200.0
NIP,13986.0,200.0
NJK,16326.0,200.0
NKX,22800.0,200.0
NLC,27004.0,200.0
NLG,4000.0,75.0
NME,1600.0,50.0
NMM,22405.0,200.0
NNL,2800.0,75.0
NOW,4500.0,150.0
NPA,23140.0,200.0
NQA,17100.0,183.33333333333334
NQI,32000.0,200.0
NQX,24000.0,166.66666666666666
NRB,8001.0,200.0
NSE,24000.0,200.0
NTD,16606.0,200.0
NTU,35997.0,175.0
NUI,4343.0,90.0
NUL,4000.0,100.0
NUQ,17329.0,200.0
NUW,16001.0,200.0
NXP,8015.0,150.0
NXX,8002.0,200.0
NYG,4279.0,200.0
NZJ,39900.0,210.0
NZY,15500.0,250.0
OAJ,7100.0,150.0
OAK,25047.0,131.25
OAR,3000.0,75.0
OBE,9000.0,150.0
OBU,4000.0,75.0
OCA,4500.0,70.0
OCF,9917.0,100.0
OCW,14000.0,133.33333333333334
OEB,11250.0,113.33333333333333
OFF,11700.0,300.0
OFK,11600.0,100.0
OGB,12701.0,121.66666666666667
OGD,18898.0,150.0
OGG,11985.0,150.0
OGS,5200.0,150.0
OJC,4098.0,75.0
OKC,30481.0,131.25
OKK,9202.0,150.0
OLF,5089.0,100.0
OLM,9658.0,150.0
OLS,7199.0,90.0
OLU,10935.0,125.0
OLV,6000.0,100.0
OMA,26155.0,150.0
OME,11577.0,150.0
OMN,15705.0,133.75
ONP,8398.0,112.5
ONT,22398.0,150.0
OOK,3218.0,60.0
OPF,19108.0,133.33333333333334
OQN,3347.0,50.0
OQU,18467.0,106.25
ORD,79866.0,161.11111111111111
ORF,13876.0,150.0
ORH,12000.0,125.0
ORL,10641.0,125.0
ORT,5100.0,100.0
ORV,4000.0,100.0
OSC,11800.0,200.0
OSH,20664.0,112.5
OSU,14991.0,100.0
OTH,9792.0,150.0
OTM,11063.0,175.0
OTZ,9700.0,120.0
OWB,11494.0,125.0
OWD,8003.0,87.5
OXC,5800.0,100.0
OXR,5953.0,100.0
OZA,6000.0,75.0
OZR,14000.0,150.0
P08,14936.0,125.0
P52,4250.0,75.0
PAE,16524.0,100.0
PAH,11999.0,150.0
PAM,19139.0,175.0
PAO,2443.0,70.0
PAQ,11185.0,78.33333333333333
PBF,5998.0,150.0
PBG,11758.0,200.0
PBI,20153.0,125.0
PBX,8950.0,87.5
PCW,9005.0,75.0
PCZ,10580.0,95.0
PDK,17097.0,137.5
PDT,16222.0,103.33333333333333
PDX,26001.0,150.0
PEQ,12191.0,80.0
PFN,11192.0,150.0
PGA,8151.0,125.0
PGD,16029.0,150.0
PGV,14185.0,150.0
PHD,6000.0,100.0
PHF,14529.0,150.0
PHK,5733.0,87.5
PHL,30466.0,162.5
PHN,9104.0,87.5
PHX,29589.0,150.0
PIA,18107.0,150.0
PIB,6501.0,150.0
PIE,33598.0,135.0
PIH,16210.0,125.0
PIM,5002.0,100.0
PIP,3280.0,75.0
PIR,13787.0,125.0
PIT,39811.0,162.5
PIZ,3519.0,80.0
PKA,18000.0,1030.0
PKB,10781.0,150.0
PLN,11907.0,150.0
PMB,3800.0,75.0
PMD,30003.0,125.0
PML,3500.0,100.0
PMP,11921.0,133.33333333333334
PNC,7201.0,150.0
PNE,12000.0,150.0
PNM,3900.0,75.0
PNS,14004.0,150.0
POB,10501.0,105.0
POC,8500.0,75.0
POE,4109.0,125.0
POF,5008.0,100.0
POU,9102.0,100.0
PPC,4968.0,150.0
PQI,13434.0,150.0
PRB,10709.0,125.0
PRC,16804.0,95.0
PRX,15250.0,150.0
PSC,19837.0,125.0
PSG,6000.0,150.0
PSM,11321.0,150.0
PSP,14952.0,112.5
PSX,15003.0,150.0
PTB,8062.0,75.0
PTH,9000.0,100.0
PTK,15507.0,93.75
PTT,5500.0,100.0
PTU,5228.0,50.0
PUB,31145.0,131.25
PUC,16470.0,83.33333333333333
PUW,6730.0,100.0
PVC,3500.0,100.0
PVD,14781.0,150.0
PVU,15213.0,150.0
PWK,13046.0,91.66666666666667
PWM,12201.0,150.0
PWT,11122.0,150.0
PWY,7100.0,100.0
PXE,5002.0,100.0
PYM,7700.0,75.0
PYP,5500.0,100.0
RAC,10979.0,100.0
RAL,8252.0,74.0
RAP,12302.0,112.5
RBD,10251.0,150.0
